from,to,window,effect,dashes,estimate
1,2,prenatal,total,FALSE,positive
1,6,prenatal,total,FALSE,positive
1,3,birth,total,FALSE,positive
1,5,birth,total,FALSE,positive
1,6,birth,total,FALSE,positive
1,9,birth,total,FALSE,positive
1,10,birth,total,FALSE,negative
1,4,3y,total,FALSE,positive
1,6,3y,total,FALSE,positive
1,8,3y,total,FALSE,positive
1,12,3y,total,FALSE,positive
1,13,3y,total,FALSE,positive
1,15,3y,total,FALSE,positive
1,7,5-8y,total,FALSE,negative
1,8,5-8y,total,FALSE,positive
1,11,5-8y,total,FALSE,negative
1,14,5-8y,total,FALSE,positive
1,16,5-8y,total,FALSE,positive
1,17,5-8y,total,FALSE,positive
1,18,5-8y,total,FALSE,positive
